timestamp_utc,region,probe_id,target,rtt_values,rtt_avg
2025-10-22 06:53:00,Brno,25757,cesnet.cz,"[4.717533, 4.617428, 4.625158]",4.65
2025-10-21 11:37:59,Brno,25757,cesnet.cz,"[4.754453, 4.592703, 4.610312]",4.65
2025-10-22 04:52:58,Brno,25757,cesnet.cz,"[4.744654, 4.635598, 4.568482]",4.65
2025-10-21 22:37:58,Brno,25757,cesnet.cz,"[4.654453, 4.594918, 4.699993]",4.65
2025-10-21 18:22:57,Brno,25757,cesnet.cz,"[4.750149, 4.644983, 4.592413]",4.66
2025-10-21 08:52:58,Brno,25757,cesnet.cz,"[4.728208, 4.629057, 4.626037]",4.66
2025-10-21 20:52:59,Brno,25757,cesnet.cz,"[4.730015, 4.585733, 4.675264]",4.66
2025-10-21 18:08:00,Brno,25757,cesnet.cz,"[4.683074, 4.671143, 4.617013]",4.66
2025-10-21 13:52:59,Brno,25757,cesnet.cz,"[4.742049, 4.590493, 4.651272]",4.66
2025-10-21 17:52:58,Brno,25757,cesnet.cz,"[4.664754, 4.651358, 4.649509]",4.66
2025-10-21 13:37:59,Brno,25757,cesnet.cz,"[4.662837, 4.653052, 4.669278]",4.66
2025-10-21 22:52:59,Brno,25757,cesnet.cz,"[4.727124, 4.702428, 4.572497]",4.67
2025-10-21 11:08:00,Brno,25757,cesnet.cz,"[4.767433, 4.662793, 4.566424]",4.67
2025-10-22 01:22:57,Brno,25757,cesnet.cz,"[4.684617, 4.586738, 4.746353]",4.67
2025-10-21 22:07:58,Brno,25757,cesnet.cz,"[4.770708, 4.639348, 4.587502]",4.67
2025-10-22 06:37:58,Brno,25757,cesnet.cz,"[4.716399, 4.658243, 4.627362]",4.67
2025-10-21 14:08:00,Brno,25757,cesnet.cz,"[4.734933, 4.603658, 4.677783]",4.67
2025-10-21 09:22:58,Brno,25757,cesnet.cz,"[4.722978, 4.652289, 4.631538]",4.67
2025-10-22 02:37:57,Brno,25757,cesnet.cz,"[4.842759, 4.590447, 4.590548]",4.67
2025-10-22 01:37:58,Brno,25757,cesnet.cz,"[4.708713, 4.685104, 4.612608]",4.67
2025-10-21 16:37:58,Brno,25757,cesnet.cz,"[4.784228, 4.638953, 4.615752]",4.68
2025-10-22 05:22:58,Brno,25757,cesnet.cz,"[4.711628, 4.664163, 4.658494]",4.68
